alpha_used,served_bits,energy,sla_hit_rate
0.0,42936673.0,7212273.910205999,0.0
0.0,39053787.0,6746742.697941,0.0
0.0,32133970.0,6828722.618887,0.0
0.0,29313113.0,6467865.457168,0.0
0.0,27245877.0,6616454.59302,0.0
0.0,23814241.0,6061117.038589,0.0
0.0,22229525.0,5672040.576404,0.0
0.0,20431645.0,5788090.749336,0.0
0.0,19075879.0,5593885.83735,0.0
0.0,16470418.0,5914749.825465,0.0
0.0,12517212.0,5435017.190652,0.0
0.0,12659074.0,5641526.297622,0.0
0.0,10233521.0,5415634.282537,0.0
0.0,10630668.0,6019895.665504,0.0
0.0,7747243.0,5845167.980992001,0.0
0.0,6953575.0,6489745.837181999,0.0
0.0,5379522.0,7351089.4634380005,0.0
0.0,3393269.0,7419055.900122,0.0
0.0,2636603.0,7723896.683404,0.0
0.0,2348521.0,8129934.103906,0.0
0.0,1812236.0,8147506.87969,0.0
0.0,2342819.0,8606474.242128,0.0
0.0,2770109.0,5908937.150178,0.0
0.0,2164097.0,5688938.742341001,0.0
0.0,2134326.0,5622632.292332,0.0
0.0,1717052.0,5637074.075426,0.0
0.0,1708848.0,7788977.904527,0.0
0.0,1659499.0,5448129.52334,0.0
0.0,1583463.0,5198503.9940140005,0.0
0.0,738659.0,2425015.246799,0.0
0.0,1740544.0,5714197.551214,0.0
0.0,2210024.0,5853494.922108,0.0
0.0,1763817.0,5790603.5175129995,0.0
0.0,819615.0,2690794.244062,0.0
0.0,833858.0,2737552.354726,0.0
0.0,799934.0,2626181.634568,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,919663.0,4064377.51085,0.0
0.0,914015.0,4039416.566467,0.0
0.0,917259.0,3011358.719127,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,1416462.0,5896628.720908,0.0
0.0,1338453.0,3719636.362658,0.0
0.0,1346547.0,3701238.009827,0.0
0.0,509769.0,929760.361528,0.0
0.0,417700.0,761837.113047,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,472101.0,2583179.769234,0.0
0.0,475534.0,2601960.8837,0.0
0.0,479080.0,2621366.526253,0.0
0.0,483416.0,2645091.436817,0.0
0.0,521319.0,2852479.684289,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,588348.0,1931543.509524,0.0
0.0,547388.0,1797072.297842,0.0
0.0,604412.0,1984284.303292,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,683034.0,1245775.949692,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,628471.0,2063266.935394,0.0
0.0,36730.0,120587.4921,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
